Company,Rating,Reviews,Salaries,Interviews,Jobs,Benefits
TCS,3.3,(1.2L),10.3L,11.4k,4.5k,11k
Accenture,3.7,(75k),7.1L,9.5k,21.9k,6.9k
Wipro,3.6,(66.3k),4.9L,6.9k,4.2k,4.9k
Cognizant,3.7,(62.6k),6.1L,6.5k,909,5.6k
Capgemini,3.6,(54.6k),4.9L,5.6k,1.9k,3.9k
HDFC Bank,3.8,(53.7k),1.5L,3.1k,255,3.5k
Infosys,3.5,(49.8k),5.3L,8.5k,3.1k,4.9k
HCLTech,3.4,(46.9k),3.9L,4.6k,232,3.9k
ICICI Bank,3.9,(46.7k),1.6L,3k,11,3.8k
Tech Mahindra,3.3,(44.2k),2.9L,4.7k,690,3.5k
Genpact,3.6,(43.3k),2.4L,4k,620,3.7k
TP,3.9,(39.6k),1L,2.3k,1.8k,2k
Axis Bank,3.6,(34k),1L,2k,208,2.3k
Jio,4.4,(34k),62.1k,4.5k,--,2.7k
Concentrix Corporation,3.5,(32.9k),1.3L,2k,18,3.2k
Amazon,3.9,(32.3k),1.6L,6.1k,73,3.5k
Reliance Retail,3.9,(27.8k),74.8k,2k,96,1.9k
iEnergizer,4.6,(27.4k),25k,1.6k,72,650
LTIMindtree,3.6,(27k),2L,3.5k,535,853
HDB Financial Services,3.9,(26.2k),49.8k,1.1k,4,1.5k
IBM,3.9,(26.2k),2.2L,2.7k,1.7k,2.6k
Larsen & Toubro Limited,3.9,(24.4k),77.1k,1.9k,232,2.6k
Deloitte,3.6,(23.9k),2.8L,3.4k,362,2.5k
Kotak Mahindra Bank,3.6,(23k),88.6k,1.4k,167,1.4k
Reliance Industries,4.0,(20.6k),74.9k,1.6k,100,1.9k
Vodafone Idea,3.9,(17.8k),48.8k,706,95,2.1k
Bharti Airtel,3.8,(17.4k),50.5k,1.1k,192,1.7k
BYJU'S,3.2,(16.4k),49.5k,2.1k,5,1.7k
WNS,3.3,(15.6k),71.7k,1.3k,64,1.4k
IDFC FIRST Bank,4.0,(15.3k),49.9k,1k,58,805
Ernst & Young,3.4,(15k),1.5L,1.4k,2.5k,1.1k
IndusInd Bank,3.4,(14.6k),53k,787,168,861
AU Small Finance Bank,3.8,(14.5k),30.2k,721,207,637
Tata Motors,4.1,(14.4k),43.5k,1.3k,205,1.7k
Bajaj Finserv,3.9,(13.5k),32.1k,802,7,773
Muthoot FinCorp,4.5,(13.3k),9.9k,2.4k,52,302
Flipkart,3.9,(13.3k),57.1k,1.8k,142,1.4k
PwC,3.3,(13k),1.3L,1.6k,1.1k,874
HDFC Life,3.8,(12.4k),34k,833,120,665
Mahindra & Mahindra,4.0,(12.3k),41.3k,902,1,1.2k
Infosys BPM,3.5,(12.3k),77.9k,1.1k,95,1.2k
DXC Technology,3.6,(12.2k),75k,909,163,1.1k
Bandhan Bank,3.6,(11.5k),27.7k,782,--,580
Digitide Solutions,3.5,(10.5k),27.4k,592,366,801
Yes Bank,3.7,(10.5k),43.7k,575,208,663
Mphasis,3.3,(10.4k),75.5k,950,78,884
Tata Steel,4.0,(10.1k),34.9k,1.1k,--,706
Quess,3.8,(10k),32k,553,60,477
Asian Paints,3.9,(9.8k),26.6k,894,116,951
UltraTech Cement,4.1,(9.7k),25.3k,835,71,678
Startek,3.0,(9.7k),25k,665,240,720
Maruti Suzuki,4.1,(9.7k),29.4k,821,172,1k
Paytm,3.2,(9.5k),34.7k,918,981,621
Bajaj Finance,3.9,(9.5k),23.7k,464,8.2k,551
Shriram Finance,3.9,(9.3k),15.6k,472,10,75
Sutherland Global Services,3.3,(9.3k),36.4k,825,271,945
Coforge,3.3,(9k),67.6k,974,330,428
Equitas Small Finance Bank,4.3,(9k),13.9k,1k,52,447
Wells Fargo,3.6,(8.9k),65k,709,163,893
Cipla,4.1,(8.8k),26.8k,615,46,900
EXL Service,3.6,(8.8k),45.7k,936,97,828
Ericsson,3.9,(8.5k),42.6k,479,53,1k
Samsung,3.9,(8.4k),26.6k,640,61,547
